suchprofil;firma;domain;apollo_org_id;land;stadt;branche;mitarbeiter;beschreibung;personen_name;personen_titel;linkedin;email_status;score;klasse;positive_signale;negative_signale;empfehlung;naechster_schritt;quelle
OTC/Pharma mit Apothekenbezug;VIVATIS Pharma Group;en.vivatis.de;60a2838143adbd01490d8264;Deutschland;;;;;;;;nicht gezogen;35;P;"Pharma; Hersteller/Pharma-Indiz: pharma";;Prüfkandidat;"Website manuell/automatisch prüfen; nicht ausschließen";Apollo/API
OTC/Pharma mit Apothekenbezug;Amarox Pharma GmbH;amaroxpharma.de;5fa1503e3b025100daf6027d;Deutschland;;;;;;;;nicht gezogen;35;P;"Pharma; Hersteller/Pharma-Indiz: pharma";;Prüfkandidat;"Website manuell/automatisch prüfen; nicht ausschließen";Apollo/API
OTC/Pharma mit Apothekenbezug;PHOENIX Pharmahandel GmbH & Co KG;phoenix-online.de;5e5838587eed110001a18504;Deutschland;;;;;;;;nicht gezogen;35;P;"Pharma; Hersteller/Pharma-Indiz: pharma";;Prüfkandidat;"Website manuell/automatisch prüfen; nicht ausschließen";Apollo/API
OTC/Pharma mit Apothekenbezug;Apozin GmbH;apozin.de;5f48db8b60adea000177f837;Deutschland;;;;;;;;nicht gezogen;0;U;;;unklar;"Apollo-Daten unvollständig; Website prüfen, bevor ausgeschlossen wird";Apollo/API
OTC/Pharma mit Apothekenbezug;ysura GmbH;ysura.com;5569a7e073696425d70a7100;Deutschland;;;;;;;;nicht gezogen;0;U;;;unklar;"Apollo-Daten unvollständig; Website prüfen, bevor ausgeschlossen wird";Apollo/API
OTC/Pharma mit Apothekenbezug;HERMES ARZNEIMITTEL GmbH;hermes-arzneimittel.com;61c4590cdd75fe00a4d30d78;Deutschland;;;;;;;;nicht gezogen;35;P;"Arzneimittel; Hersteller/Pharma-Indiz: arzneimittel";;Prüfkandidat;"Website manuell/automatisch prüfen; nicht ausschließen";Apollo/API
OTC/Pharma mit Apothekenbezug;TAD Pharma GmbH;tad.de;54a1216d69702da10fffd402;Deutschland;;;;;;;;nicht gezogen;35;P;"Pharma; Hersteller/Pharma-Indiz: pharma";;Prüfkandidat;"Website manuell/automatisch prüfen; nicht ausschließen";Apollo/API
OTC/Pharma mit Apothekenbezug;g2 Recruitment;g2recruitment.com;559222e7736964191e208d00;Deutschland;;;;;;;;nicht gezogen;0;U;;;unklar;"Apollo-Daten unvollständig; Website prüfen, bevor ausgeschlossen wird";Apollo/API
OTC/Pharma mit Apothekenbezug;CHEPLAPHARM;cheplapharm.com;5fa00bfda00972011e5b5893;Deutschland;;;;;;;;nicht gezogen;0;U;;;unklar;"Apollo-Daten unvollständig; Website prüfen, bevor ausgeschlossen wird";Apollo/API
OTC/Pharma mit Apothekenbezug;K-Recruiting Life Sciences;k-recruiting.com;556dbeee736964120f729001;Deutschland;;;;;;;;nicht gezogen;0;U;;;unklar;"Apollo-Daten unvollständig; Website prüfen, bevor ausgeschlossen wird";Apollo/API
OTC/Pharma mit Apothekenbezug;Midas Pharma;midas-pharma.com;54a135d369702d3cbbaaf500;Deutschland;;;;;;;;nicht gezogen;35;P;"Pharma; Hersteller/Pharma-Indiz: pharma";;Prüfkandidat;"Website manuell/automatisch prüfen; nicht ausschließen";Apollo/API
OTC/Pharma mit Apothekenbezug;Grünhorn;gruenhorn.group;61154b62e18ddd00a40f31a3;Deutschland;;;;;;;;nicht gezogen;0;U;;;unklar;"Apollo-Daten unvollständig; Website prüfen, bevor ausgeschlossen wird";Apollo/API
OTC/Pharma mit Apothekenbezug;Gedeon Richter Pharma GmbH;;54a1289969702d90a2e94c01;Deutschland;;;;;;;;nicht gezogen;35;P;"Pharma; Hersteller/Pharma-Indiz: pharma";;Prüfkandidat;"Website manuell/automatisch prüfen; nicht ausschließen";Apollo/API
Bestellprozess-Signale Apotheke;Pharma Deutschland;pharmadeutschland.de;5c282279f6512550e0313421;Deutschland;;;;;;;;nicht gezogen;35;P;Hersteller/Pharma-Indiz: pharma;;Prüfkandidat;"Website manuell/automatisch prüfen; nicht ausschließen";Apollo/API
Bestellprozess-Signale Apotheke;APOTHEKE ADHOC;apotheke-adhoc.de;5ed4bf7940af0c0001b1e659;Deutschland;;;;;;;;nicht gezogen;28;U;"Apotheke; Starkes Fit-Signal: apotheke";;unklar;"Apollo-Daten unvollständig; Website prüfen, bevor ausgeschlossen wird";Apollo/API
