"Tabelle;Spalte;Datentyp;Beschreibung_Inhalt;Join_Foreign_Key"
"Datei_Index;Datei_Name;str;Dateiname;"
"Datei_Index;Datei_Pfad;str;Pfad zur Datei;"
"Datei_Index;Typ_Kategorie;str;Dateityp;"
"Datei_Index;Inhalts_Summary;str;Zusammenfassung des Inhalts;"
"Datei_Index;Scan_Datum;datetime;Datum des Scans;"
"abdaartikel;pzn;str;Pharmazentralnummer;"
"abdaartikel;abdawarengruppe;str;Nummer der Produktkategorie / Warengruppe;"
"abdaartikel;apuhap;float;Herstellerabgabepreis;"
"abdaartikel;abgaberegelung;str;Rx, OTC (Apo.pflicht), FW (Nichtapo.pflicht);"
"abdaartikel;anbieter_nr;float;Anbieternummer;stammdatenindustrie.anbieternummer"
"abdaartikel;anbietername;str;Anbietername;"
"abdaartikel;artikelart;str;Welche Artikelart;"
"abdaartikel;artikelname;str;[SUCH FELD] Artikelname Textsuche nach Artikeln;"
"abdaartikel;artikelname_hauptbegriff;str;[SUCH FELD] Wichtigster Namensbestandteil, Marke;"
"abdaartikel;btm;str;Betδubungsmittel;"
"abdaartikel;direktbezug;str;Direktbezug mφglich ja/nein;"
"abdaartikel;einheit;str;Artikeleinheit;"
"abdaartikel;einheit_vergleich;str;Vergleichseinheit Artikel;"
"abdaartikel;kosmetikum;str;Kosmetikum?;"
"abdaartikel;menge;int;Artikelmenge;"
"abdaartikel;taxeek;float;Taxe Einkaufspreis Apotheke;"
"abdaartikel;taxevk;float;TaxeVerkaufspreis Apotheke;"
"abdaartikel;verpackung;str;Verpackungsform;"
